GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.domain.models.product,Category,396,0,40,0,0,0,50,0,30,0
demo,com.example.demo.domain.models.product,Collection,258,0,22,0,0,0,35,0,24,0
demo,com.example.demo.domain.models.product,Subcategory,442,0,46,0,0,0,55,0,32,0
demo,com.example.demo.domain.models.product,Unit,258,0,22,0,0,0,35,0,24,0
demo,com.example.demo.domain.models.product,Product,1270,0,154,0,0,0,145,0,68,0
demo,com.example.demo.application.services.model,CreateProductCommand,0,54,0,0,0,1,0,1,0,1
demo,com.example.demo.application.services.impl,DispensaryServiceImpl,140,16,4,0,36,6,9,2,7,2
demo,com.example.demo.application.services.impl,ProductServiceImpl,0,212,0,4,0,58,0,7,0,5
demo,com.example.demo.application.services.impl,AddressServiceImpl,10,0,0,0,4,0,2,0,2,0
demo,com.example.demo.application.services.impl,BrandImageServiceImpl,0,66,0,0,0,15,0,4,0,4
demo,com.example.demo.application.services.impl,BrandServiceImpl,0,179,0,24,0,55,0,21,0,9
demo,com.example.demo.presentation.api.model,GetAllDispensariesResponse,54,0,0,0,1,0,1,0,1,0
demo,com.example.demo.presentation.api.model,RemoveDispensaryResponse,24,0,0,0,1,0,1,0,1,0
demo,com.example.demo.presentation.api.model,GetBrandResponse,0,42,0,0,0,1,0,1,0,1
demo,com.example.demo.presentation.api.model,GetDispensaryResponse,51,0,0,0,1,0,1,0,1,0
demo,com.example.demo.presentation.api.model,CreateBrandImageResponse,0,12,0,0,0,1,0,1,0,1
demo,com.example.demo.presentation.api.model,CreateBrandResponse,0,42,0,0,0,1,0,1,0,1
demo,com.example.demo.presentation.api.model,CreateProductResponse,0,57,0,0,0,1,0,1,0,1
demo,com.example.demo.presentation.api.model,CreateDispensaryResponse,51,0,0,0,1,0,1,0,1,0
demo,com.example.demo.presentation.api.model,GetAllBrandsResponse,0,27,0,0,0,1,0,1,0,1
demo,com.example.demo.presentation.controllers,ProductController,0,119,0,0,0,43,0,3,0,3
demo,com.example.demo.presentation.controllers,BrandImageController,0,35,0,0,0,9,0,2,0,2
demo,com.example.demo.presentation.controllers,DispensaryController,260,0,0,0,94,0,11,0,11,0
demo,com.example.demo.presentation.controllers,BrandController,0,192,0,0,0,76,0,8,0,8
demo,com.example.demo.presentation.controllers,GlobalExceptionHandler,35,166,0,0,7,31,3,14,3,14
demo,com.example.demo.domain.models,BaseEntity,57,0,0,0,7,0,15,0,15,0
demo,com.example.demo.domain.models,BlobUploadTarget,0,15,0,0,0,1,0,1,0,1
demo,com.example.demo.domain.models,BlobType,0,93,0,6,0,20,0,9,0,6
demo,com.example.demo.domain.models,AssetStatus,0,61,0,15,0,12,0,12,0,4
demo,com.example.demo.domain.models.strain,Strain,764,0,88,0,0,0,90,0,46,0
demo,com.example.demo.domain.repositories,BlobStorageException,0,28,0,0,0,10,0,4,0,4
demo,com.example.demo.application.exceptions,NotFoundException,0,4,0,0,0,2,0,1,0,1
demo,com.example.demo.application.exceptions,DomainException,0,4,0,0,0,2,0,1,0,1
demo,com.example.demo.application.exceptions,ConflictException,0,4,0,0,0,2,0,1,0,1
demo,com.example.demo.infrastructure.config,AwsS3Properties.S3,0,15,0,0,0,1,0,1,0,1
demo,com.example.demo.infrastructure.config,AwsS3Properties,0,20,0,4,0,2,0,4,0,2
demo,com.example.demo.infrastructure.config,JpaConfig,3,0,0,0,1,0,1,0,1,0
demo,com.example.demo.infrastructure.config,S3Config,0,77,0,4,0,21,0,5,0,3
demo,com.example.demo.infrastructure.config,JsonConfig,7,0,0,0,2,0,2,0,2,0
demo,com.example.demo.infrastructure.config,OpenApiConfig,35,0,0,0,13,0,2,0,2,0
demo,com.example.demo.infrastructure.adapters.storage,S3BlobStorageAdapter,0,173,0,6,0,50,0,9,0,6
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
demo,com.example.demo.domain.models.brand,BrandImage,681,0,78,0,13,0,83,0,44,0
demo,com.example.demo.domain.models.brand,Brand,1040,0,124,0,0,0,120,0,58,0
demo,com.example.demo.domain.models.brand,BrandType,258,0,22,0,0,0,35,0,24,0
demo,com.example.demo.domain.models.dispensary,LicenseStatus,350,0,34,0,0,0,45,0,28,0
demo,com.example.demo.domain.models.dispensary,Dispensary,1178,0,142,0,0,0,135,0,64,0
demo,com.example.demo.domain.models.dispensary,Address,396,0,40,0,0,0,50,0,30,0
demo,com.example.demo.presentation.api,FieldError,0,9,0,0,0,1,0,1,0,1
demo,com.example.demo.presentation.api,DataResponse,0,6,0,0,0,1,0,1,0,1
demo,com.example.demo.presentation.api,ErrorResponse,0,15,0,0,0,1,0,1,0,1
